'Elapsed time','MLII','V1'
'seconds','mV','mV'
0.000,-5.955,-5.635
0.003,-5.955,-5.635
0.006,-5.955,-5.635
0.008,-5.955,-5.635
0.011,-5.955,-5.635
0.014,-5.955,-5.635
0.017,-5.955,-5.635
0.019,-5.935,-5.635
0.022,-5.935,-5.605
0.025,-5.950,-5.620
0.028,-5.960,-5.635
0.031,-5.970,-5.670
0.033,-5.995,-5.710
0.036,-6.005,-5.755
0.039,-6.040,-5.770
0.042,-6.090,-5.785
0.044,-6.130,-5.760
0.047,-6.160,-5.745
0.050,-6.185,-5.735
0.053,-6.215,-5.735
0.056,-6.205,-5.735
0.058,-6.185,-5.770
0.061,-6.190,-5.795
0.064,-6.180,-5.800
0.067,-6.170,-5.810
0.069,-6.180,-5.825
0.072,-6.180,-5.805
0.075,-6.185,-5.805
0.078,-6.185,-5.795
0.081,-6.185,-5.760
0.083,-6.200,-5.760
0.086,-6.200,-5.765
0.089,-6.235,-5.750
0.092,-6.235,-5.750
0.094,-6.215,-5.760
0.097,-6.190,-5.760
0.100,-6.175,-5.785
0.103,-6.175,-5.795
0.106,-6.195,-5.810
0.108,-6.220,-5.800
0.111,-6.220,-5.810
0.114,-6.235,-5.800
0.117,-6.230,-5.805
0.119,-6.230,-5.815
0.122,-6.225,-5.820
0.125,-6.225,-5.825
0.128,-6.230,-5.815
0.131,-6.220,-5.800
0.133,-6.225,-5.805
0.136,-6.210,-5.770
0.139,-6.210,-5.775
0.142,-6.200,-5.780
0.144,-6.185,-5.820
0.147,-6.200,-5.840
0.150,-6.170,-5.885
0.153,-6.155,-5.965
0.156,-6.115,-6.050
0.158,-6.020,-6.155
0.161,-5.875,-6.295
0.164,-5.690,-6.450
0.167,-5.515,-6.605
0.169,-5.395,-6.730
0.172,-5.355,-6.790
0.175,-5.360,-6.730
0.178,-5.350,-6.620
0.181,-5.320,-6.445
0.183,-5.250,-6.295
0.186,-5.135,-6.160
0.189,-5.010,-6.030
0.192,-4.895,-5.875
0.194,-4.875,-5.630
0.197,-4.965,-5.315
0.200,-5.260,-5.010
0.203,-5.695,-4.780
0.206,-6.200,-4.715
0.208,-6.620,-4.820
0.211,-6.910,-5.050
0.214,-7.040,-5.330
0.217,-7.100,-5.565
0.219,-7.130,-5.730
0.222,-7.170,-5.815
0.225,-7.240,-5.860
0.228,-7.290,-5.895
0.231,-7.290,-5.920
0.233,-7.260,-5.975
0.236,-7.195,-6.045
0.239,-7.180,-6.105
0.242,-7.165,-6.125
0.244,-7.145,-6.130
0.247,-7.105,-6.090
0.250,-7.070,-6.070
0.253,-7.020,-6.085
0.256,-6.920,-6.070
0.258,-6.805,-6.080
0.261,-6.690,-6.050
0.264,-6.565,-6.040
0.267,-6.455,-5.995
0.269,-6.350,-5.960
0.272,-6.295,-5.880
0.275,-6.260,-5.820
0.278,-6.270,-5.765
0.281,-6.290,-5.720
0.283,-6.290,-5.685
0.286,-6.260,-5.685
0.289,-6.215,-5.705
0.292,-6.180,-5.725
0.294,-6.220,-5.740
0.297,-6.300,-5.730
0.300,-6.350,-5.715
0.303,-6.330,-5.705
0.306,-6.215,-5.720
0.308,-6.105,-5.755
0.311,-6.080,-5.790
0.314,-6.115,-5.830
0.317,-6.155,-5.825
0.319,-6.190,-5.840
0.322,-6.200,-5.825
0.325,-6.160,-5.840
0.328,-6.135,-5.875
0.331,-6.115,-5.895
0.333,-6.130,-5.905
0.336,-6.165,-5.920
0.339,-6.205,-5.905
0.342,-6.235,-5.890
0.344,-6.225,-5.895
0.347,-6.225,-5.905
0.350,-6.245,-5.950
0.353,-6.260,-6.005
0.356,-6.295,-6.055
0.358,-6.305,-6.090
0.361,-6.295,-6.115
0.364,-6.305,-6.110
0.367,-6.325,-6.110
0.369,-6.320,-6.095
0.372,-6.325,-6.085
0.375,-6.320,-6.080
0.378,-6.285,-6.080
0.381,-6.250,-6.090
0.383,-6.255,-6.105
0.386,-6.270,-6.120
0.389,-6.330,-6.170
0.392,-6.345,-6.160
0.394,-6.325,-6.180
0.397,-6.335,-6.175
0.400,-6.350,-6.165
0.403,-6.385,-6.185
0.406,-6.380,-6.175
0.408,-6.330,-6.170
0.411,-6.270,-6.175
0.414,-6.270,-6.200
0.417,-6.295,-6.245
0.419,-6.325,-6.265
0.422,-6.370,-6.285
0.425,-6.440,-6.280
0.428,-6.515,-6.270
0.431,-6.590,-6.260
0.433,-6.615,-6.270
0.436,-6.605,-6.280
0.439,-6.550,-6.240
0.442,-6.495,-6.215
0.444,-6.455,-6.195
0.447,-6.395,-6.150
0.450,-6.330,-6.105
0.453,-6.275,-6.095
0.456,-6.280,-6.085
0.458,-6.335,-6.080
0.461,-6.390,-6.095
0.464,-6.420,-6.095
0.467,-6.410,-6.100
0.469,-6.380,-6.100
0.472,-6.335,-6.095
