'Elapsed time','MLII','V1'
'seconds','mV','mV'
0.000,-0.215,0.115
0.004,-0.225,0.095
0.008,-0.230,0.090
0.012,-0.230,0.085
0.016,-0.215,0.095
0.020,-0.200,0.100
0.024,-0.185,0.095
0.028,-0.190,0.105
0.032,-0.190,0.100
0.036,-0.195,0.090
0.040,-0.205,0.080
0.044,-0.210,0.075
0.048,-0.210,0.100
0.052,-0.210,0.105
0.056,-0.195,0.110
0.060,-0.195,0.100
0.064,-0.195,0.075
0.068,-0.205,0.065
0.072,-0.205,0.075
0.076,-0.200,0.080
0.080,-0.205,0.095
0.084,-0.200,0.105
0.088,-0.205,0.095
0.092,-0.210,0.085
0.096,-0.225,0.085
0.100,-0.225,0.080
0.104,-0.220,0.080
0.108,-0.215,0.075
0.112,-0.210,0.095
0.116,-0.205,0.095
0.120,-0.200,0.090
0.124,-0.205,0.085
0.128,-0.215,0.075
0.132,-0.215,0.075
0.136,-0.220,0.065
0.140,-0.225,0.060
0.144,-0.230,0.070
0.148,-0.215,0.085
0.152,-0.210,0.080
0.156,-0.195,0.095
0.160,-0.185,0.080
0.164,-0.190,0.070
0.168,-0.200,0.040
0.172,-0.230,0.045
0.176,-0.220,0.040
0.180,-0.230,0.050
0.184,-0.225,0.080
0.188,-0.205,0.090
0.192,-0.190,0.085
0.196,-0.190,0.065
0.200,-0.195,0.055
0.204,-0.185,0.045
0.208,-0.175,0.060
0.212,-0.165,0.080
0.216,-0.165,0.085
0.220,-0.150,0.100
0.224,-0.130,0.090
0.228,-0.120,0.090
0.232,-0.130,0.080
0.236,-0.135,0.085
0.240,-0.140,0.070
0.244,-0.130,0.055
0.248,-0.110,0.055
0.252,-0.110,0.040
0.256,-0.095,0.030
0.260,-0.110,0.045
0.264,-0.135,0.035
0.268,-0.160,0.015
0.272,-0.185,0.020
0.276,-0.205,0.025
0.280,-0.190,0.020
0.284,-0.175,0.030
0.288,-0.165,0.045
0.292,-0.170,0.065
0.296,-0.180,0.070
0.300,-0.190,0.075
0.304,-0.210,0.060
0.308,-0.220,0.055
0.312,-0.230,0.050
0.316,-0.240,0.065
0.320,-0.225,0.075
0.324,-0.210,0.080
0.328,-0.210,0.085
0.332,-0.210,0.065
0.336,-0.215,0.055
0.340,-0.215,0.045
0.344,-0.220,0.065
0.348,-0.220,0.080
0.352,-0.215,0.095
0.356,-0.210,0.080
0.360,-0.200,0.060
0.364,-0.205,0.060
0.368,-0.210,0.055
0.372,-0.230,0.050
0.376,-0.230,0.065
0.380,-0.240,0.065
0.384,-0.215,0.070
0.388,-0.195,0.075
0.392,-0.180,0.080
0.396,-0.175,0.075
0.400,-0.180,0.085
0.404,-0.205,0.075
0.408,-0.210,0.085
0.412,-0.215,0.085
0.416,-0.175,0.110
0.420,-0.135,0.135
0.424,-0.090,0.145
0.428,-0.035,0.140
0.432,0.055,0.080
0.436,0.180,0.000
0.440,0.340,-0.130
0.444,0.490,-0.255
0.448,0.535,-0.340
0.452,0.375,-0.390
0.456,0.035,-0.375
0.460,-0.300,-0.245
0.464,-0.525,-0.050
0.468,-0.575,0.135
0.472,-0.575,0.280
0.476,-0.505,0.335
0.480,-0.435,0.350
0.484,-0.395,0.370
0.488,-0.400,0.395
0.492,-0.430,0.425
0.496,-0.425,0.440
0.500,-0.420,0.445
0.504,-0.360,0.490
0.508,-0.325,0.530
0.512,-0.325,0.580
0.516,-0.340,0.585
0.520,-0.350,0.600
0.524,-0.335,0.555
0.528,-0.325,0.495
0.532,-0.320,0.410
0.536,-0.305,0.325
0.540,-0.280,0.240
0.544,-0.245,0.155
0.548,-0.210,0.095
0.552,-0.185,0.060
0.556,-0.190,0.045
0.560,-0.205,0.030
0.564,-0.210,0.035
0.568,-0.210,0.030
0.572,-0.195,0.025
0.576,-0.180,0.020
0.580,-0.190,0.030
0.584,-0.195,0.025
0.588,-0.190,0.050
0.592,-0.190,0.055
0.596,-0.190,0.045
0.600,-0.195,0.040
0.604,-0.195,0.030
0.608,-0.190,0.030
0.612,-0.175,0.030
0.616,-0.175,0.040
0.620,-0.180,0.040
0.624,-0.175,0.030
0.628,-0.165,0.020
0.632,-0.180,0.010
0.636,-0.180,0.005
0.640,-0.170,-0.010
0.644,-0.165,-0.005
0.648,-0.165,-0.015
0.652,-0.160,-0.010
0.656,-0.160,0.000
0.660,-0.160,0.000
0.664,-0.155,0.005
0.668,-0.150,-0.015
0.672,-0.140,-0.040
0.676,-0.125,-0.050
0.680,-0.115,-0.060
0.684,-0.095,-0.050
0.688,-0.080,-0.050
0.692,-0.075,-0.045
0.696,-0.065,-0.045
0.700,-0.070,-0.055
0.704,-0.045,-0.095
0.708,-0.030,-0.105
0.712,-0.005,-0.115
0.716,0.020,-0.115
0.720,0.035,-0.120
0.724,0.055,-0.125
0.728,0.070,-0.130
0.732,0.070,-0.150
0.736,0.080,-0.155
0.740,0.085,-0.170
0.744,0.090,-0.165
0.748,0.100,-0.150
0.752,0.110,-0.155
0.756,0.110,-0.160
0.760,0.115,-0.160
0.764,0.120,-0.180
0.768,0.120,-0.155
0.772,0.120,-0.140
0.776,0.115,-0.125
0.780,0.115,-0.110
0.784,0.090,-0.080
0.788,0.070,-0.060
0.792,0.035,-0.060
0.796,0.000,-0.055
0.800,-0.005,-0.050
0.804,-0.030,-0.050
0.808,-0.045,-0.025
0.812,-0.070,-0.005
0.816,-0.075,0.010
0.820,-0.070,0.030
0.824,-0.075,0.020
0.828,-0.095,0.020
0.832,-0.120,0.010
0.836,-0.150,0.000
0.840,-0.170,0.000
0.844,-0.180,0.025
0.848,-0.180,0.040
0.852,-0.180,0.065
0.856,-0.170,0.065
0.860,-0.175,0.055
0.864,-0.180,0.035
0.868,-0.195,0.020
0.872,-0.205,0.030
0.876,-0.210,0.040
0.880,-0.230,0.050
0.884,-0.235,0.060
0.888,-0.235,0.065
0.892,-0.250,0.065
0.896,-0.235,0.035
0.900,-0.240,0.020
0.904,-0.255,-0.010
0.908,-0.255,0.000
0.912,-0.245,0.005
0.916,-0.230,0.030
0.920,-0.220,0.035
0.924,-0.210,0.025
0.928,-0.215,0.020
0.932,-0.215,0.000
0.936,-0.210,0.010
0.940,-0.205,0.015
0.944,-0.200,0.020
0.948,-0.190,0.025
0.952,-0.170,0.030
0.956,-0.165,0.035
0.960,-0.160,0.025
0.964,-0.165,0.010
0.968,-0.175,0.005
0.972,-0.175,-0.005
0.976,-0.175,0.000
0.980,-0.170,0.005
