'Elapsed time','MLII','V1'
'seconds','mV','mV'
0.000,-0.690,-0.380
0.003,-0.690,-0.380
0.006,-0.690,-0.380
0.008,-0.690,-0.380
0.011,-0.690,-0.380
0.014,-0.690,-0.380
0.017,-0.690,-0.380
0.019,-0.670,-0.380
0.022,-0.635,-0.380
0.025,-0.600,-0.385
0.028,-0.535,-0.385
0.031,-0.420,-0.350
0.033,-0.240,-0.320
0.036,0.020,-0.280
0.039,0.375,-0.230
0.042,0.770,-0.220
0.044,1.130,-0.240
0.047,1.375,-0.330
0.050,1.435,-0.475
0.053,1.225,-0.645
0.056,0.720,-0.865
0.058,0.080,-1.040
0.061,-0.560,-1.160
0.064,-1.200,-1.155
0.067,-1.685,-1.070
0.069,-1.610,-0.940
0.072,-1.355,-0.800
0.075,-1.100,-0.675
0.078,-0.910,-0.580
0.081,-0.815,-0.515
0.083,-0.790,-0.490
0.086,-0.820,-0.465
0.089,-0.845,-0.450
0.092,-0.865,-0.440
0.094,-0.865,-0.430
0.097,-0.870,-0.420
0.100,-0.870,-0.415
0.103,-0.870,-0.400
0.106,-0.865,-0.385
0.108,-0.865,-0.370
0.111,-0.870,-0.360
0.114,-0.855,-0.345
0.117,-0.860,-0.350
0.119,-0.860,-0.355
0.122,-0.860,-0.355
0.125,-0.865,-0.365
0.128,-0.865,-0.360
0.131,-0.870,-0.355
0.133,-0.860,-0.345
0.136,-0.850,-0.360
0.139,-0.855,-0.345
0.142,-0.820,-0.340
0.144,-0.815,-0.345
0.147,-0.815,-0.320
0.150,-0.815,-0.330
0.153,-0.815,-0.325
0.156,-0.805,-0.335
0.158,-0.795,-0.325
0.161,-0.790,-0.340
0.164,-0.800,-0.350
0.167,-0.800,-0.345
0.169,-0.790,-0.345
0.172,-0.775,-0.335
0.175,-0.775,-0.325
0.178,-0.765,-0.315
0.181,-0.755,-0.310
0.183,-0.750,-0.305
0.186,-0.745,-0.315
0.189,-0.740,-0.335
0.192,-0.735,-0.340
0.194,-0.735,-0.335
0.197,-0.740,-0.335
0.200,-0.755,-0.320
0.203,-0.740,-0.325
0.206,-0.730,-0.310
0.208,-0.720,-0.305
0.211,-0.710,-0.320
0.214,-0.695,-0.315
0.217,-0.690,-0.320
0.219,-0.675,-0.315
0.222,-0.675,-0.330
0.225,-0.680,-0.320
0.228,-0.675,-0.320
0.231,-0.670,-0.320
0.233,-0.670,-0.325
0.236,-0.670,-0.325
0.239,-0.655,-0.315
0.242,-0.650,-0.315
0.244,-0.635,-0.305
0.247,-0.630,-0.300
0.250,-0.620,-0.300
0.253,-0.615,-0.305
0.256,-0.605,-0.305
0.258,-0.595,-0.320
0.261,-0.600,-0.315
0.264,-0.595,-0.320
