'Elapsed time','V5','V2'
'seconds','mV','mV'
0.000,4.895,5.250
0.004,4.910,5.245
0.008,4.915,5.235
0.012,4.945,5.250
0.016,5.015,5.270
0.020,5.230,5.275
0.024,5.810,5.470
0.028,5.870,5.950
0.032,5.345,5.850
0.036,5.165,5.475
0.040,5.200,5.420
0.044,5.180,5.425
0.048,5.145,5.420
0.052,5.140,5.395
0.056,5.130,5.380
0.060,5.110,5.335
0.064,5.105,5.320
0.068,5.080,5.310
0.072,5.040,5.300
0.076,4.990,5.295
0.080,4.945,5.285
0.084,4.900,5.265
0.088,4.850,5.225
0.092,4.780,5.195
0.096,4.680,5.190
0.100,4.645,5.185
0.104,4.525,5.155
0.108,4.475,5.130
0.112,4.435,5.110
0.116,4.425,5.060
0.120,4.415,4.985
0.124,4.405,4.905
0.128,4.420,4.880
0.132,4.445,4.855
0.136,4.455,4.795
0.140,4.465,4.755
0.144,4.515,4.725
0.148,4.555,4.685
0.152,4.615,4.600
0.156,4.680,4.540
0.160,4.720,4.570
0.164,4.785,4.635
0.168,4.845,4.680
0.172,4.870,4.730
0.176,4.885,4.815
0.180,4.915,4.920
0.184,4.930,4.965
0.188,4.940,4.990
0.192,4.945,5.005
0.196,4.945,5.030
0.200,4.955,5.045
0.204,4.980,5.055
0.208,4.965,5.045
0.212,4.970,5.055
0.216,4.985,5.070
0.220,4.985,5.080
0.224,4.975,5.080
0.228,4.980,5.105
0.232,5.005,5.130
0.236,5.025,5.150
0.240,5.030,5.165
0.244,5.035,5.195
0.248,5.050,5.210
0.252,5.060,5.215
0.256,5.075,5.205
0.260,5.070,5.220
0.264,5.070,5.225
0.268,5.085,5.235
0.272,5.080,5.230
0.276,5.090,5.230
0.280,5.095,5.250
0.284,5.105,5.255
0.288,5.110,5.250
0.292,5.105,5.245
0.296,5.115,5.270
0.300,5.120,5.275
0.304,5.135,5.275
0.308,5.125,5.270
0.312,5.125,5.290
0.316,5.150,5.305
0.320,5.160,5.295
0.324,5.135,5.300
0.328,5.140,5.320
0.332,5.170,5.330
0.336,5.170,5.330
0.340,5.175,5.325
0.344,5.165,5.330
0.348,5.185,5.360
0.352,5.175,5.355
0.356,5.180,5.350
0.360,5.180,5.365
0.364,5.195,5.395
0.368,5.195,5.390
0.372,5.190,5.385
0.376,5.190,5.390
0.380,5.200,5.410
0.384,5.205,5.420
0.388,5.195,5.405
0.392,5.185,5.415
0.396,5.205,5.445
0.400,5.200,5.455
0.404,5.220,5.435
0.408,5.195,5.450
0.412,5.195,5.460
0.416,5.210,5.470
0.420,5.205,5.470
0.424,5.190,5.460
0.428,5.185,5.465
0.432,5.180,5.485
0.436,5.180,5.470
0.440,5.165,5.455
0.444,5.155,5.460
0.448,5.145,5.470
0.452,5.130,5.460
0.456,5.120,5.445
0.460,5.090,5.435
0.464,5.085,5.445
0.468,5.080,5.430
0.472,5.065,5.415
0.476,5.050,5.395
0.480,5.045,5.405
0.484,5.055,5.400
0.488,5.035,5.380
0.492,5.000,5.355
0.496,5.010,5.355
0.500,5.005,5.360
0.504,5.000,5.325
0.508,4.980,5.310
0.512,4.975,5.315
0.516,4.985,5.320
0.520,4.985,5.305
0.524,4.965,5.290
0.528,4.970,5.290
0.532,4.965,5.290
0.536,4.970,5.285
0.540,4.955,5.270
0.544,4.955,5.260
0.548,4.960,5.275
0.552,4.975,5.260
0.556,4.945,5.245
0.560,4.950,5.250
0.564,4.960,5.255
0.568,4.950,5.245
0.572,4.940,5.235
0.576,4.940,5.230
0.580,4.935,5.250
0.584,4.955,5.235
0.588,4.950,5.220
0.592,4.930,5.215
0.596,4.950,5.225
0.600,4.945,5.230
0.604,4.945,5.220
0.608,4.940,5.210
0.612,4.930,5.225
0.616,4.945,5.225
0.620,4.945,5.210
0.624,4.935,5.205
0.628,4.910,5.210
0.632,4.935,5.225
0.636,4.930,5.210
0.640,4.935,5.210
0.644,4.925,5.210
0.648,4.935,5.220
0.652,4.930,5.210
0.656,4.930,5.205
0.660,4.930,5.210
0.664,4.925,5.220
0.668,4.930,5.210
0.672,4.925,5.200
0.676,4.905,5.195
0.680,4.915,5.215
0.684,4.915,5.210
0.688,4.915,5.200
0.692,4.905,5.190
0.696,4.910,5.205
0.700,4.915,5.210
0.704,4.905,5.185
0.708,4.890,5.190
0.712,4.885,5.200
0.716,4.910,5.205
0.720,4.905,5.185
0.724,4.895,5.195
0.728,4.890,5.200
0.732,4.900,5.200
0.736,4.905,5.190
0.740,4.880,5.190
0.744,4.875,5.195
0.748,4.890,5.200
0.752,4.890,5.190
0.756,4.880,5.180
0.760,4.880,5.185
0.764,4.890,5.195
0.768,4.900,5.195
0.772,4.900,5.175
0.776,4.885,5.185
0.780,4.895,5.190
0.784,4.895,5.190
0.788,4.900,5.185
0.792,4.880,5.170
0.796,4.900,5.195
0.800,4.905,5.200
0.804,4.905,5.180
0.808,4.900,5.175
0.812,4.905,5.185
0.816,4.915,5.195
0.820,4.915,5.185
0.824,4.910,5.175
0.828,4.945,5.195
0.832,5.005,5.220
0.836,5.160,5.245
0.840,5.650,5.370
0.844,5.990,5.790
0.848,5.545,6.025
0.852,5.170,5.700
0.856,5.125,5.455
0.860,5.135,5.430
0.864,5.100,5.420
0.868,5.055,5.375
0.872,5.035,5.345
0.876,5.015,5.340
0.880,4.990,5.330
0.884,4.955,5.290
0.888,4.920,5.245
0.892,4.880,5.225
0.896,4.855,5.230
0.900,4.845,5.235
0.904,4.770,5.205
0.908,4.705,5.195
0.912,4.665,5.190
0.916,4.630,5.175
0.920,4.545,5.145
0.924,4.440,5.120
0.928,4.365,5.110
0.932,4.330,5.105
0.936,4.295,5.100
0.940,4.255,5.050
0.944,4.240,5.010
0.948,4.260,4.960
0.952,4.270,4.880
0.956,4.285,4.840
0.960,4.315,4.805
0.964,4.345,4.770
0.968,4.365,4.715
0.972,4.390,4.675
0.976,4.420,4.615
0.980,4.485,4.580
0.984,4.565,4.510
0.988,4.655,4.465
0.992,4.725,4.490
0.996,4.815,4.565
1.000,4.840,4.595
1.004,4.910,4.700
1.008,4.915,4.795
1.012,4.910,4.885
1.016,4.925,4.935
1.020,4.950,4.960
1.024,4.945,4.995
1.028,4.945,5.015
1.032,4.975,5.035
1.036,4.980,5.040
1.040,4.965,5.030
1.044,4.960,5.045
1.048,4.960,5.060
1.052,4.965,5.065
1.056,4.970,5.070
1.060,4.970,5.090
1.064,4.990,5.130
1.068,5.000,5.135
1.072,5.010,5.145
1.076,5.020,5.185
1.080,5.045,5.210
1.084,5.040,5.225
1.088,5.045,5.225
1.092,5.040,5.215
1.096,5.065,5.235
1.100,5.075,5.235
1.104,5.080,5.245
1.108,5.075,5.245
1.112,5.075,5.250
1.116,5.095,5.260
1.120,5.095,5.260
1.124,5.095,5.260
1.128,5.100,5.275
1.132,5.100,5.290
1.136,5.120,5.290
1.140,5.110,5.280
1.144,5.115,5.285
1.148,5.120,5.310
1.152,5.130,5.310
1.156,5.130,5.300
1.160,5.125,5.305
1.164,5.140,5.335
1.168,5.150,5.340
1.172,5.145,5.325
1.176,5.135,5.345
1.180,5.145,5.360
1.184,5.160,5.360
1.188,5.165,5.355
1.192,5.155,5.370
1.196,5.165,5.380
1.200,5.180,5.390
1.204,5.200,5.405
1.208,5.190,5.400
1.212,5.180,5.415
1.216,5.185,5.435
1.220,5.190,5.435
1.224,5.185,5.435
1.228,5.195,5.450
1.232,5.210,5.470
1.236,5.210,5.475
1.240,5.210,5.465
1.244,5.200,5.470
1.248,5.220,5.500
1.252,5.210,5.505
1.256,5.190,5.490
1.260,5.175,5.505
1.264,5.190,5.525
1.268,5.185,5.510
1.272,5.185,5.510
1.276,5.160,5.495
1.280,5.160,5.515
1.284,5.160,5.510
1.288,5.140,5.490
1.292,5.115,5.485
1.296,5.100,5.485
1.300,5.090,5.490
1.304,5.090,5.450
1.308,5.075,5.440
1.312,5.060,5.435
1.316,5.060,5.435
1.320,5.040,5.405
1.324,5.040,5.395
1.328,5.015,5.385
1.332,5.010,5.385
1.336,5.010,5.370
1.340,4.995,5.350
1.344,4.990,5.345
1.348,4.995,5.350
1.352,4.990,5.330
1.356,4.980,5.310
1.360,4.960,5.305
1.364,4.970,5.315
1.368,4.960,5.295
1.372,4.955,5.285
1.376,4.925,5.265
1.380,4.945,5.275
1.384,4.955,5.275
1.388,4.945,5.260
1.392,4.920,5.255
1.396,4.930,5.260
1.400,4.935,5.265
1.404,4.930,5.250
1.408,4.920,5.235
1.412,4.915,5.245
1.416,4.925,5.245
1.420,4.920,5.240
1.424,4.905,5.235
1.428,4.905,5.250
1.432,4.910,5.250
1.436,4.905,5.235
1.440,4.890,5.220
1.444,4.885,5.225
1.448,4.900,5.240
1.452,4.895,5.235
1.456,4.885,5.215
1.460,4.875,5.230
1.464,4.885,5.240
1.468,4.885,5.230
1.472,4.865,5.220
1.476,4.870,5.210
1.480,4.880,5.220
1.484,4.890,5.220
1.488,4.860,5.205
1.492,4.855,5.200
1.496,4.860,5.220
1.500,4.865,5.230
1.504,4.850,5.205
1.508,4.855,5.200
1.512,4.855,5.200
1.516,4.865,5.215
1.520,4.860,5.205
1.524,4.855,5.195
1.528,4.860,5.210
1.532,4.855,5.210
1.536,4.860,5.200
1.540,4.845,5.180
1.544,4.835,5.195
1.548,4.850,5.200
1.552,4.850,5.195
1.556,4.845,5.185
1.560,4.830,5.185
1.564,4.850,5.195
1.568,4.860,5.190
1.572,4.845,5.185
1.576,4.830,5.170
1.580,4.855,5.180
1.584,4.860,5.175
1.588,4.845,5.170
1.592,4.835,5.165
1.596,4.830,5.175
1.600,4.835,5.185
1.604,4.840,5.170
1.608,4.840,5.165
1.612,4.840,5.180
1.616,4.850,5.185
1.620,4.855,5.180
1.624,4.845,5.165
1.628,4.850,5.175
1.632,4.865,5.180
1.636,4.865,5.175
1.640,4.860,5.180
1.644,4.865,5.180
1.648,4.890,5.200
1.652,4.915,5.195
1.656,4.985,5.200
1.660,5.255,5.245
1.664,5.845,5.475
1.668,5.775,5.930
1.672,5.245,5.870
1.676,5.090,5.525
1.680,5.115,5.435
1.684,5.115,5.410
1.688,5.060,5.360
1.692,5.025,5.345
1.696,5.025,5.350
1.700,5.030,5.350
1.704,4.990,5.290
1.708,4.935,5.250
1.712,4.920,5.230
1.716,4.895,5.225
1.720,4.860,5.210
1.724,4.815,5.195
1.728,4.795,5.185
1.732,4.750,5.180
1.736,4.700,5.150
1.740,4.640,5.120
1.744,4.575,5.100
1.748,4.485,5.100
1.752,4.410,5.070
1.756,4.365,5.045
1.760,4.315,5.040
1.764,4.270,5.025
1.768,4.270,4.980
1.772,4.250,4.920
1.776,4.240,4.850
1.780,4.270,4.825
1.784,4.290,4.785
1.788,4.285,4.745
1.792,4.275,4.690
1.796,4.310,4.675
1.800,4.330,4.665
1.804,4.405,4.570
1.808,4.460,4.495
1.812,4.540,4.455
1.816,4.610,4.485
1.820,4.640,4.535
1.824,4.690,4.580
1.828,4.750,4.660
1.832,4.785,4.755
1.836,4.815,4.840
1.840,4.825,4.895
1.844,4.835,4.960
1.848,4.860,5.015
1.852,4.870,5.025
1.856,4.870,5.040
1.860,4.890,5.060
1.864,4.890,5.075
1.868,4.900,5.075
1.872,4.890,5.085
1.876,4.885,5.095
1.880,4.900,5.125
1.884,4.910,5.135
1.888,4.925,5.140
1.892,4.945,5.155
1.896,4.970,5.195
1.900,4.985,5.205
1.904,5.005,5.215
1.908,5.010,5.210
1.912,5.025,5.225
1.916,5.050,5.240
1.920,5.045,5.225
1.924,5.055,5.235
1.928,5.085,5.250
1.932,5.095,5.260
1.936,5.105,5.255
1.940,5.110,5.245
1.944,5.110,5.275
1.948,5.125,5.285
1.952,5.120,5.280
1.956,5.100,5.250
1.960,5.090,5.270
1.964,5.090,5.280
1.968,5.105,5.285
1.972,5.090,5.280
1.976,5.085,5.275
1.980,5.090,5.285
1.984,5.090,5.290
1.988,5.095,5.295
1.992,5.090,5.290
1.996,5.100,5.310
2.000,5.105,5.320
2.004,5.115,5.330
2.008,5.100,5.330
2.012,5.115,5.350
2.016,5.120,5.360
2.020,5.125,5.355
2.024,5.115,5.355
2.028,5.135,5.385
2.032,5.145,5.390
2.036,5.150,5.390
2.040,5.140,5.400
2.044,5.140,5.405
2.048,5.150,5.425
2.052,5.160,5.415
2.056,5.150,5.410
2.060,5.150,5.440
2.064,5.165,5.460
2.068,5.165,5.445
2.072,5.155,5.440
2.076,5.135,5.440
2.080,5.140,5.455
2.084,5.140,5.460
2.088,5.130,5.450
2.092,5.115,5.445
2.096,5.115,5.455
2.100,5.110,5.455
2.104,5.090,5.435
2.108,5.060,5.425
2.112,5.065,5.430
2.116,5.070,5.420
2.120,5.055,5.405
2.124,5.040,5.390
2.128,5.030,5.395
